Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Status
AEC-03,Heavy Silk Saree with Handcrafted Pearl Work,"<p> Introducing our newest addition to the saree collection - the Heavy Rangoli Silk Saree with Heavy Handwork and Cutwork with Pearl. This saree is the perfect blend of tradition and modernity, with intricate handwork and cutwork coupled with elegant pearls. The Heavy Rangoli Silk fabric not only adds a touch of luxury, but it also brings a comfortable feel to the saree.

The Heavy Rangoli Silk fabric is used in both the saree as well as the blouse, making it a perfect match. The blouse comes with both side sleeves handwork, adding to the overall elegance of the saree. The saree length is 5.5 meters, providing ample material for draping, and the blouse length is 1 meter, leaving plenty of room for customization.

This saree is perfect for all occasions, be it a wedding, party, or any other special event. The Heavy Rangoli Silk Saree with Heavy Handwork and Cutwork with Pearl is a must-have in every saree lover's collection. Get yours today and experience the perfect blend of tradition and modernity! </p>",Bandisha,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","bt_2000_3000,trending,wedding-gift",true,Color,Brown,"",Packaging Options,Basic (+ Rs. 0),"","","","",AEC-03-Brown,600,Shopify,100,deny,manual,2236.5,2236.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346866.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Brown,"","",Premium (+ Rs.20),"","","","",AEC-03-Brown,600,Shopify,100,deny,manual,2256.5,2256.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346866.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Green,"","",Basic (+ Rs. 0),"","","","",AEC-03-Green,600,Shopify,100,deny,manual,2236.5,2236.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346854.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Green,"","",Premium (+ Rs.20),"","","","",AEC-03-Green,600,Shopify,100,deny,manual,2256.5,2256.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346854.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Red,"","",Basic (+ Rs. 0),"","","","",AEC-03-Red,600,Shopify,100,deny,manual,2236.5,2236.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346838.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Red,"","",Premium (+ Rs.20),"","","","",AEC-03-Red,600,Shopify,100,deny,manual,2256.5,2256.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346838.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Wine,"","",Basic (+ Rs. 0),"","","","",AEC-03-Wine,600,Shopify,100,deny,manual,2236.5,2236.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346834.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
AEC-03,"","","","","","bt_2000_3000,trending,wedding-gift",true,"",Wine,"","",Premium (+ Rs.20),"","","","",AEC-03-Wine,600,Shopify,100,deny,manual,2256.5,2256.5,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13346834.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,Fancy Tasseled Linen Saree with Kalamkari Print,"<p> Introducing our stunning Fancy Tasseled Linen Saree with Kalamkari Print. Made from high-quality materials, this saree is perfect for any occasion and sure to turn heads wherever you go. The beautiful tasseled details add an elegant touch to the classic Kalamkari print, making this saree truly unique. Not only is it stylish, but it's also comfortable and easy to wear, making it perfect for long events or everyday wear. This saree is versatile and can be dressed up or down to fit any occasion. Whether you're attending a wedding or just running errands, this saree is sure to make you feel confident and chic. Invest in our Fancy Tasseled Linen Saree with Kalamkari Print and elevate your wardrobe today! </p>",Bandisha,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","bt_1000_2000,trending,wedding-gift",true,Color,Beige,"",Packaging Options,Basic (+ Rs. 0),"","","","",ANT-15-Beige,700,Shopify,100,deny,manual,1559.25,1559.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220192.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Beige,"","",Premium (+ Rs.20),"","","","",ANT-15-Beige,700,Shopify,100,deny,manual,1579.25,1579.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220192.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Black,"","",Basic (+ Rs. 0),"","","","",ANT-15-Black,700,Shopify,100,deny,manual,1559.25,1559.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220196.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Black,"","",Premium (+ Rs.20),"","","","",ANT-15-Black,700,Shopify,100,deny,manual,1579.25,1579.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220196.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Grey,"","",Basic (+ Rs. 0),"","","","",ANT-15-Grey,700,Shopify,100,deny,manual,1559.25,1559.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220194.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Grey,"","",Premium (+ Rs.20),"","","","",ANT-15-Grey,700,Shopify,100,deny,manual,1579.25,1579.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220194.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Orange,"","",Basic (+ Rs. 0),"","","","",ANT-15-Orange,700,Shopify,100,deny,manual,1559.25,1559.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220202.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Orange,"","",Premium (+ Rs.20),"","","","",ANT-15-Orange,700,Shopify,100,deny,manual,1579.25,1579.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220202.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Yellow,"","",Basic (+ Rs. 0),"","","","",ANT-15-Yellow,700,Shopify,100,deny,manual,1559.25,1559.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220200.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
ANT-15,"","","","","","bt_1000_2000,trending,wedding-gift",true,"",Yellow,"","",Premium (+ Rs.20),"","","","",ANT-15-Yellow,700,Shopify,100,deny,manual,1579.25,1579.25,true,false,,https://lsmedia.linker-cdn.net/957953/2024/13220200.jpeg,,"",false,,,,,,,,,,,,,,,,,,g,,,true,,,true,,,active
